wavelength,n,k
269.9292196973,1.387147359,1.8092896759
276.4831467857,1.4318464905,1.8480155698
279.2894951223,1.4453710608,1.8554540835
284.79553949,1.4709888487,1.8694449819
288.3059682807,1.4797649207,1.8733942143
292.7793038231,1.4917849592,1.8784908638
295.8295819593,1.5061392092,1.8824382825
296.6335348805,1.5099225171,1.8834786922
306.9573680699,1.53,1.8914723951
311.9516112706,1.5312903209,1.8936451604
313.9775746386,1.5333789429,1.8946894715
316.6755363788,1.5361603468,1.8960801734
323.7744327656,1.5217598229,1.8934399557
328.2932899946,1.4973335676,1.8873333919
335.5972542606,1.48,1.8785302681
340.4065876034,1.48,1.8732837226
347.4200757556,1.4884103859,1.8688974035
351.4875018933,1.4953632511,1.8671591872
358.760068829,1.4933429652,1.8756527004
359.2428972505,1.4926381062,1.876674746
369.3002109042,1.4779408663,1.898912354
371.0657187455,1.4753445313,1.9038453906
381.1513159241,1.4605127707,1.9320257357
382.8885402405,1.4608732957,1.9346592619
392.16577816,1.4667080366,1.9457452695
392.2368185844,1.4667527161,1.9458301606
402.5656837076,1.4667511423,1.9539493146
406.321804462,1.4643888022,1.9553667187
415.1325988631,1.4589345355,1.9569345355
417.6288598599,1.457483221,1.955483221
425.1996708655,1.4530815867,1.9510815867
426.9554203581,1.4520608021,1.9500608021
427.0874575058,1.4519840363,1.9499840363
434.0093418537,1.4379581407,1.9421510969
435.826336495,1.4317233552,1.9391227725
439.6141989285,1.418725788,1.9328096685
442.2684084052,1.4096182065,1.928385986
443.6883882685,1.4047457265,1.9260193529
450.6010633481,1.381025763,1.9144982278
451.4635024992,1.3780758451,1.9122132848
452.3628230793,1.3750049944,1.9093617805
459.337145945,1.3511902334,1.8872480738
460.1079921564,1.3485580756,1.8848039273
462.423884843,1.3406501493,1.8774608529
467.0456080597,1.3248686554,1.8628066086
468.9333947,1.3184225547,1.8568209436
474.246706338,1.2786281342,1.8471409265
475.3046746112,1.266968892,1.8464500084
477.1400227338,1.2467426066,1.8452514137
486.069527833,1.1483358157,1.8394199002
486.8673677833,1.1395432938,1.8388988619
497.0100810922,1.0213506377,1.8440120044
497.8923493279,1.0065285313,1.8527641053
507.2073434474,0.8500366301,1.945168847
509.7151708229,0.8079051302,1.9700464946
519.9036339893,0.636738949,2.0711160492
521.5379923179,0.6156238794,2.0896140479
532.0169315981,0.5437466786,2.2310986432
533.3608138129,0.5345287139,2.2492434789
544.130229207,0.4606590776,2.3946500261
545.1836353078,0.4534335484,2.4088729099
556.2435268159,0.3980569029,2.5480913117
557.0064568028,0.3948685387,2.5573831157
563.9519889306,0.3658424343,2.6419734771
568.8292782978,0.3454597325,2.7013744939
580.6520997928,0.2960509262,2.8453658721
592.4749212877,0.2660808731,2.9852865362
595.8870462631,0.2582143026,3.0255043781
604.2977427827,0.2388236478,3.1246391008
608.0003438719,0.2302873916,3.1682807102
616.1205642777,0.2115664224,3.2639916654
620.1136414808,0.2045678009,3.3049812091
627.9433857727,0.1917321545,3.3829119193
632.2269390896,0.1847099359,3.4255468176
639.7662072676,0.1723504799,3.5005863721
644.3402366985,0.164852071,3.5461124262
651.5890287626,0.1529688053,3.6182608249
657.2159096813,0.1437444104,3.67426608
663.4118502576,0.1391306999,3.7322935823
668.5668319162,0.1379851485,3.7788029724
675.2346717526,0.1365034063,3.8389617051
680.6801295251,0.1352933045,3.8880918353
687.0574932475,0.1338761126,3.945629828
692.793427134,0.1326014606,3.9973806981
698.8803147425,0.1312488189,4.0522979508
704.9067247428,0.1300789757,4.1064670323
710.7031362375,0.1312044925,4.1558772196
717.0200223517,0.1324310723,4.209724074
722.5259577324,0.133500186,4.256658164
729.1333199605,0.1347831689,4.3129811158
734.3487792274,0.1357958795,4.3574391084
741.2466175694,0.1371352655,4.4162381575
746.1716007224,0.138091573,4.4582200528
753.3599151783,0.1394873622,4.5194951993
757.9944222174,0.1406127257,4.5585742307
765.4732127871,0.1429103572,4.6207251631
769.8172437123,0.1442449289,4.6568253279
777.586510396,0.1466318004,4.7213902016
781.6400652073,0.1478771322,4.7550764251
789.6998080048,0.1503532436,4.8220552401
793.4628867023,0.1515093354,4.8533275224
801.8131056137,0.1540746868,4.9227202786
805.2857081973,0.1551415386,4.9515786196
813.9264032226,0.15779613,5.0233853171
817.1085296922,0.1587737418,5.0498297168
826.0397008314,0.1606967138,5.1234094003
828.9313511872,0.1611045629,5.1470646501
838.1529984403,0.1624052184,5.2225026671
840.7541726822,0.1627720977,5.2437816665
850.2662960492,0.164113723,5.3215959338
852.5769941772,0.1644396325,5.340498683
862.379593658,0.1658222276,5.4206892006
864.3998156721,0.1661071672,5.4372156994
874.4928912669,0.1675307322,5.5197824673
876.2226371671,0.167774702,5.5339327159
886.6061888757,0.1692392368,5.6188757341
888.0454586621,0.1694422368,5.6306497324
898.7194864846,0.1736518948,5.7131770349
899.8682801571,0.1742762392,5.7217555268
910.8327840935,0.1802352087,5.8036317682
911.691101652,0.1807016857,5.8100411612
922.9460817023,0.1868185227,5.8940865014
923.513923147,0.1871271321,5.8983267957
935.0593793112,0.1934018366,5.9845412346
935.336744642,0.1935525786,5.9866124301
947.1595661369,0.1999780251,6.0748980645
947.1726769201,0.1999851505,6.0749959679
958.9823876319,0.2064034715,6.1631836989
959.2859745289,0.2065684644,6.1654507011
970.8052091269,0.212828918,6.2514693334
971.3992721378,0.2131517783,6.2559054343
982.6280306219,0.2192543645,6.3397549678
983.5125697466,0.2197350923,6.3463601676
994.4508521168,0.2250244481,6.4303911701
995.6258673555,0.2255893593,6.4394297489
1006.2736736118,0.2307084969,6.5213359509
1007.7391649644,0.2314130601,6.5326089613
1018.0964951068,0.2363925457,6.6122807316
1019.8524625732,0.2372367609,6.6257881736
1029.9193166018,0.2420765945,6.7032255123
1031.9657601821,0.2430604616,6.718967386
1041.7421380967,0.2477606433,6.7941702931
1044.079057791,0.2488841624,6.8121465984
1053.5649595917,0.2534446921,6.8851150738
1056.1923553998,0.2547078632,6.9053258108
1065.3877810867,0.2591287409,6.9760598545
1068.3056530087,0.2605315639,6.9985050231
1077.2106025817,0.2648127897,7.0670046352
1080.4189506175,0.2663552647,7.0916842355
1089.0334240766,0.27064589,7.1580332575
1092.5322482264,0.2728326551,7.1852311483
1100.8562455716,0.2780351535,7.2499372214
1104.6455458353,0.2804034661,7.2793931102
1112.6790670666,0.2854244169,7.3418411854
1116.7588434441,0.2879742772,7.3735550721
1124.5018885616,0.2928136804,7.4337451494
1128.872141053,0.2955450882,7.467717034
1136.3247100565,0.3002029438,7.5256491133
1140.9854386618,0.3031158992,7.5618789958
1148.1475315515,0.3075922072,7.6175530773
1153.0987362707,0.3106867102,7.6560409577
1159.9703530465,0.3149814707,7.7094570413
1165.2120338796,0.3182575212,7.7502029196
1171.7931745414,0.3223707341,7.8013610052
1177.3253314884,0.3258283322,7.8443648815
1183.6159960364,0.3297599975,7.8932649692
1189.4386290973,0.3333991432,7.9385268434
1195.4388175314,0.337149261,7.9851689332
1201.5519267062,0.3409699542,8.0326888053
1207.2616390264,0.3445385244,8.0770728971
1213.665224315,0.3485407652,8.1268507671
1219.0844605213,0.3513941065,8.1689437783
1225.7785219239,0.3544196709,8.2209078482
1230.9072820163,0.3567377546,8.260720935
1237.8918195327,0.3598946077,8.3149398872
1242.7301035113,0.3620814027,8.3524980917
1250.0051171416,0.3653695445,8.4089719263
1254.5529250063,0.3674250509,8.4442752484
1262.1184147505,0.3708444812,8.5030039654
1266.3757465012,0.372768699,8.536052405
1274.2317123593,0.376319418,8.5970360044
1278.1985679962,0.3781123471,8.6278295617
1286.3450099682,0.3817943548,8.6910680435
1290.0213894912,0.3834559953,8.7196067184
1298.4583075771,0.3872692916,8.7851000825
1301.8442109862,0.3887996434,8.8113838751
1310.5716051859,0.3927442283,8.8791321216
1313.6670324811,0.3941432915,8.9031610318
1322.6849027948,0.3982191651,8.9731641607
1325.4898539761,0.3994869397,8.9949381885
1334.7982004036,0.4036941019,9.0671961997
1337.3126754711,0.4048305878,9.0867153452
1346.9114980125,0.4091690386,9.1612282388
1349.135496966,0.4101742359,9.1784925019
1359.0247956214,0.4146439754,9.2552602779
1360.958318461,0.4155178841,9.2702696586
1371.1380932302,0.4201189122,9.3492923169
1372.781139956,0.4208615322,9.3620468153
1383.2513908391,0.425593849,9.443324356
1384.603961451,0.4262051803,9.4538239719
1395.364688448,0.4314166336,9.5374271344
1396.4267829459,0.4320529114,9.5457036404
1407.4779860568,0.4386734479,9.6318215411
1408.2496044409,0.4391357077,9.6378344752
1419.5912836657,0.4459302621,9.7262159478
1420.0724259359,0.446218504,9.7299653099
1431.7045812745,0.4531870763,9.8206103545
1431.8952474309,0.4533013003,9.8220961447
1443.7180689258,0.4603840966,9.9142269795
1443.8178788834,0.4604438906,9.9150047613
1455.5408904208,0.4674668929,10.0063578143
1455.9311764923,0.4677007048,10.009399168
1467.3637119158,0.4745496892,10.0984886491
1468.0444741011,0.474957519,10.1037935747
1479.1865334108,0.4816324855,10.1906194839
1480.15777171,0.4822143333,10.1981879814
1491.0093549057,0.4887152817,10.2827503186
1492.2710693188,0.4894711475,10.2925823881
1502.7127539614,0.4957265346,10.3739505389
1504.3843669277,0.4967279618,10.3869767948
1514.6549978957,0.5028808743,10.4670119882
1516.4976645366,0.503984776,10.4813712015
1526.0299852431,0.5096953829,10.5556530186
1528.6109621454,0.5112415902,10.5757656082
1538.3006408856,0.5170464669,10.6512736578
1540.7242597543,0.5184984045,10.670160015
1550.1234623806,0.5241292632,10.7434044926
1552.8375573632,0.5257552187,10.7645544217
1561.9462838756,0.5312120595,10.8355353273
1564.950854972,0.5330120329,10.8589488284
1573.7691053705,0.5382948558,10.9276661621
1577.0641525809,0.5402688472,10.9533432351
1585.5919268655,0.545377652,11.0197969969
1589.1774501897,0.5475256614,11.0477376418
1597.4147483605,0.5524604483,11.1119278317
1601.2907477986,0.5547824756,11.1421320485
1609.2375698555,0.5595432446,11.2040586665
1613.4040454075,0.5637475729,11.2367535067
1621.0603913504,0.5721765776,11.2969272348
1625.5173430163,0.5770833134,11.3319558763
1632.8832128454,0.5851925279,11.3898466575
1637.6306406252,0.5904190539,11.4271582459
1644.7060343404,0.5982084782,11.4827660803
1649.7439382341,0.6037547944,11.5223606155
1656.5288558354,0.6112244284,11.575685503
1661.8572358429,0.6170905349,11.6175629851
1668.3516773303,0.6242403787,11.6686049258
1673.9705334518,0.6304262754,11.7127653547
1680.1744988253,0.637256329,11.7615243486
1686.0838310606,0.6437620158,11.8079677242
1691.9973203203,0.6502722793,11.8544437713
1698.1971286695,0.6570977563,11.9031700938
1703.8201418153,0.6632882295,11.9473631941
1710.3104262784,0.6704334968,11.9983724634
1715.6429633102,0.6763041798,12.0402826168
1722.4237238872,0.6837692373,12.093574833
1727.4657848052,0.6893201301,12.1332020396
1734.5370214961,0.6971049778,12.1887772026
1739.2886063002,0.7023360803,12.2261214624
1746.650319105,0.7104407183,12.2839795722
1751.1114277952,0.7153520306,12.3190408851
1758.7636167138,0.7237764588,12.3791819418
1762.9342492901,0.7283679809,12.4119603079
1770.8769143227,0.7371121993,12.4743843113
1774.7570707851,0.7413839311,12.5048797306
1782.9902119315,0.7504479397,12.5695866809
1786.5798922801,0.7543998814,12.5977991534
1795.1035095404,0.7637836802,12.6647890505
1798.402713775,0.7674158317,12.6907185762
1807.2168071493,0.7771194207,12.7599914201
1810.22553527,0.7804317819,12.7836379989
1819.3301047581,0.7904551612,12.8551937897
1822.048356765,0.7934477322,12.8765574217
1831.443402367,0.8037909017,12.9503961593
1833.87117826,0.8064636825,12.9694768444
1843.5566999758,0.8171266422,13.0455985289
1845.6939997549,0.8194796328,13.0623962672
1855.6699975847,0.8304623827,13.1408008984
1857.5168212499,0.832495583,13.1553156899
1867.7832951936,0.8437981231,13.236003268
1869.3396427449,0.8455115333,13.2482351127
1879.8965928024,0.8571338636,13.3312056376
1881.2699444353,0.8586458104,13.3419992575
1892.0098904113,0.8704696041,13.4264080072
1892.770325344,0.8713067802,13.4323845142
1899.9714984364,0.8792346772,13.4889808899
1904.1231880202,0.8838053446,13.5216103768
1916.236485629,0.8971410851,13.6168127464
1928.3497832379,0.9104768256,13.712015116
1940.4630808467,,
1952.5763784556,,
1962.4891454326,,
1964.6896760645,,
1976.8029736733,,
1976.8198381537,,
1988.6426596487,,
1988.9162712822,,
2000.4654811437,,
2001.0295688911,,
2012.2883026387,,
2013.1428664999,,
2024.1111241336,,
2025.2561641088,,
2035.9339456286,,
2037.3694617176,,
2047.7567671236,,
2049.4827593265,,
2059.5795886186,,
2061.5960569354,,
2071.4024101135,,
2073.7093545442,,
2083.2252316085,,
2085.8226521531,,
2095.0480531035,,
2097.935949762,,
2106.8708745984,,
2110.0492473708,,
2118.6936960934,,
2122.1625449797,,
2130.5165175884,,
2134.2758425885,,
2142.3393390834,,
2146.3891401974,,
2154.1621605783,,
2158.5024378063,,
2165.9849820733,,
2170.6157354151,,
2177.8078035683,,
2182.729033024,,
2189.6306250633,,
2194.8423306328,,
2201.4534465582,,
